PARTICIPANT|SENTNUM|SENTENCE|CODE|COMPILED
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|7|This event occurred in 1998.|bck|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|8|Blue color is water temperature.|nd|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|9|Red color is trade wind strength.|nd|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|10|The fishermen worked along Pacific coastal regions of South America for centuries.|bck|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|11|Normal water temperature will be 70-80 degrees F.|bck|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|12|Ocean water temperature will be 3 to 5 degrees F.|bck|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|13|The oxygen is (O2).|bck|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|14|The carbon dioxide (CO2).|bck|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|15|The necessary will be coral healthy.|nd|7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_02770_F|16|During bleaching, corals turn white due to the ejection or death of their algae.||7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|1|Coral bleaching means different types of algae living in polyps that had been ?bleached? in white plain and lost there colors is called coral bleaching.|50|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|2|This coral bleaching causes a serious problem with a serious impact on the world that affect the coral reefs.|50|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|3|This coral bleaching are happens most in the Pacific Ocean and this ocean covers about 1/3 surface of globe and they double amount of water found in the Atlantic Ocean.|50|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|4|This was case in an event that occurred in 1998.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|5|There are shifting trade winds that travels from east to west.|v1|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|6|Many time deeper colder waters in the eastern Pacific rise to the surface is known as upwelling.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|7|This upwelling cause surface water to be colder than those in the western Pacific.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|8| In this region the normal water temperature is 70-80 degrees F.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|9|When the surface water shift eastward the temperature increases 3-5 degrees F.|2 - 3|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|10|Coral and photosynthesis.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|11|The coral is often mistaken for a rock or plant.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|12|They are made up of tiny animals called polyps.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|13|They are found in clear, shallow, tropical water partly called zooxanthellae.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|14|During they make the food the algae use energy from carbon dioxide (CO2) in the ocean with (H20).|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|15|In the clear shallow water reef building coral need water temperatures between 70-85 degrees F.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|16|Coral and zooxanthellae have a symbiotic relationship.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|17|In fact zooxanthellae cannot live without the outside of coral?s body.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|18|There was large coral bleaching even in 1998.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|19|It was the worst ever observed.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03466_F|20|This result in 16% of the death of the world?s coral reefs.|bck|NA
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|1|Coral bleaching, coral is something that lives in the ocean, can be in different colors.|50|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|2|Sometimes it loses color and turns white.|50|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|3|Events that lead to coral bleaching are a serious problem with serious impact.|50|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|4|Coral bleaching happens most often in Pacific Ocean.|50|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|5|It covers about 1/3 of the surface on the entire globe.|bck|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|6|When the water temperature decrease the coral will increase and when the water temperature increase the coral will decrease.|3|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|7|Environmental stressors can negatively affect the relationship between the corals and their algae.|bck|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|8|A lot of stress on corals from the environment many force the coral to eject their food producing algae.|6 - 7|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|9|This results in bleaching.|7 - v50|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|10|Bleaching makes corals to get a disease or starve. If the coral goes for too long without their algae, bleaching can result in death.|v50|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|11|There was a coral bleaching even that happened in 1998.|50|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|12|When they observed it, it was the worst. 16% of corals died that time.|bck|6 - 7 - 50
EBA1_PRE_CB_Baldwin_9_2_Essays_03468_F|13|So when the water temperature decrease the corals increase and when the water temperature increase the corals decrease.|3|6 - 7 - 50
EBA1_PRE_CB_Letizia_7_4_essay_03808_F|1|Coral bleaching rates vary at different times because some of the coral is severed because some of the bleaching gives a disease to the coral and the rates vary on how much bleaching there is but some of the coral survives.|50|7 - 50
EBA1_PRE_CB_Letizia_7_4_essay_03808_F|2|This happens because of ejection or death of their algae and they lose their coloring.|7 - v50|7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03810_F|1|I think coral bleaching is different at times because of wind strength.|v1 - 50|1 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03810_F|2|Well, that?s one reason|nd|1 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03810_F|3|When the wind is stronger the water is colder.|bck|1 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03810_F|4|I know that has something to do with the coral bleaching.|50|1 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03810_F|5|For example when the wind strength is lower the temperature of the water goes higher.|1 - 3|1 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03810_F|6|Like 1998 the wind was at -9 and the water was colder.|bck|1 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03810_F|7|In this same year there was severe bleaching in many countries.||1 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03811_F|1|The reason coral bleaching rates vary at different times is because of the water temperatures the winds bring when they change.|v1 - v3 - 50|7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03811_F|2|Because corals need a certain temperature of water to stay healthy when it changes drastically it can screw up everything and then they die.|bck|7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03811_F|3|Another factor to the bleaching is the amount of salt in the water.|v13 - 50|7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03811_F|4|When large rain storms drop a bunch of clean low salted water they can be affected because they need a good amount of salt to keep doing their job.|11 - 12|7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03811_F|5|When the algae in the coral dies then the color drains out because the algae is dead.|7 - 50|7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03811_F|6|So it?s a big chain reaction.|nd|7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03811_F|7|Rain and temperature shifts then less healthy coral then the coral dies and doesn?t make oxygen and then all the local fish die because they can?t breathe.||7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03812_F|1|?Coral bleaching happens when the algae living in the corals die.|7 - 50|13 - 7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03812_F|2|When they die the coral turns to a plain white color.|7 - 50|13 - 7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03812_F|3|There are many reasons why the algae might die.|7|13 - 7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03812_F|4|If the water temperature increases it could damage the algae because when the temperature increases the carbon dioxide decreases.|v3 - 4|13 - 7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03812_F|5|The algae need the carbon dioxide to produce food.|bck|13 - 7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03812_F|6|When they produce food it gives some to the coral.|bck|13 - 7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03812_F|7|The algae is also very sensitive to the water salinity.|bck|13 - 7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03812_F|8|When the storms drop fresh water into the ocean?s salt water the salinity drops.|11 - 12 - 13|13 - 7 - 50
EBA1_PRE_CB_Letizia_7_4_Essay_03812_F|9|When the salinity drops it is a major threat to the algae.|13 - v7|13 - 7 - 50
EBA1_PRE_CB_Letizia_7_4_essays_3826_F|1|Coral bleaching rates vary as the trade winds vary.|v1, 50|NA
EBA1_PRE_CB_Letizia_7_4_essays_3826_F|2|On the map showing the location of coral affected most, we can see that the largest affected area was on the coast of South America.|bck|NA
EBA1_PRE_CB_Letizia_7_4_essays_3826_F|3|Then if you look at the map showing the warm and cold currents once the trade winds arrive, you have to take notice of the area by the coast of South America.|v1|NA
EBA1_PRE_CB_Letizia_7_4_essays_3826_F|4|The trade winds are causing colder water to go into the coral area.|v1|NA
EBA1_PRE_CB_Letizia_7_4_essays_3826_F|5|Since  the coral need relatively high temperatures to survive, this is killing them off.|nd|NA
EBA1_PRE_CB_Letizia_7_4_essays_3826_F|6|The strength of the trade winds varies as well, so sometimes the new cold currents aren?t as cold.|v1|NA
EBA1_PRE_CB_Letizia_7_4_essays_3826_F|7|This means that a different amount of corals are bleached every time the trade winds arrive.||NA
EBA1_PRE_CB_Letizia_7_5_Essay_03801_F|1|?According to the articles coral bleaching is affected by several things.|50|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03801_F|2|In the reading, ?Background: What is coral bleaching?? it states, ?changes in wind, ocean currents, and temperatures, and how these variations are linked to marine life.?|v1|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03801_F|3|From this quote you can infer that there are possible causes for coral bleaching.|50|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03801_F|4|Later on in the graphs, ?Water temperature versus trade winds and coral bleaching reports per year? you can tell there is a connection between the change in water temperature and cases reported, where countries reported coral bleaching in 1998.|v3; 50|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03801_F|5|After reading the remaining articles I believe that with the change in weather patterns causes the rates of coral bleaching.|50|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03801_F|6|If one increases salinity and raising water temperature increases coral bleaching also rises.|3 - 50|3 - 50
EBA1_Pre_CB_Letizia_7_5_Essay_03803_F|1|Coral bleaching rates vary at different times because sometimes they don?t have what they need to stay alive.|50|7 - 50
EBA1_Pre_CB_Letizia_7_5_Essay_03803_F|2|The algae creats sugar.|bck|7 - 50
EBA1_Pre_CB_Letizia_7_5_Essay_03803_F|3|That sugar is like food/energy to the corals.|bck|7 - 50
EBA1_Pre_CB_Letizia_7_5_Essay_03803_F|4|If they don?t have algae they loose there color.|7 - 50|7 - 50
EBA1_Pre_CB_Letizia_7_5_Essay_03803_F|5|If they don?t have for a long time they might even die.|bck|7 - 50
EBA1_Pre_CB_Letizia_7_5_Essay_03803_F|6|They can survive explosives, or tourists who drop anchors or walks on reefs.|bck|7 - 50
EBA1_Pre_CB_Letizia_7_5_Essay_03803_F|7|But when they get coral bleaching they need algae so that they can survive.|50|7 - 50
EBA1_Pre_CB_Letizia_7_5_Essay_03803_F|8|If they don?t they die.|bck|7 - 50
EBA1_Pre_CB_Letizia_7_5_Essay_03803_F|9|In 1998 there was coral bleaching and 16% of the world?s coral reefs died.|50|7 - 50
EBA1_Pre_CB_Letizia_7_5_Essay_03803_F|10|I think it was because they did have enough of the algae sugar to eat.|bck|7 - 50
EBA1_PRE_CB_Letizia_7_5_essay_03807_F|1|It happens because they see little organisms that are moving and so what they do is take out the organisms that move and they take the plant and the bleach it to look half colored and half white to make it a healthy plant.|nd|NA
EBA1_PRE_CB_Letizia_7_5_essay_03807_F|2|So then they just find a spot that is empty and they put it back into the ocean and if anymore plants are like that then they do more stuff.|nd|NA
EBA1_PRE_CB_Letizia_7_5_essay_03807_F|3|First they examine it and then they bleach it more and more so once all the corals are bleached you can put them back in the ocean so once you did that you can look for more and bleach them all whole thing again and it is hard for a plant to do that.||NA
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|1|?Coral bleaching is happening everywhere.|50|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|2|When the ocean is getting bleached not only does it clean it but it mostly harms it and the marine life is getting hurt to.|nd|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|3|Corals are not plants they are actually animals.|bck|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|4|How you when a coral is getting harmed by looking at the color a seeing that it?s turning white.|nd|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|5|It looses it?s beautiful colors.|bck|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|6|In the first chart called ?Water temperature versus trade winds? you can see that in the year of 1998 the water temperature is really high and there is weaker trade winds.|3; 1|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|7|The year 1998 was also the year when there was a major bleaching event.|bck|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|8|16% of the world?s coral reefs had died.|bck|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|9|By all this evidence you can probably tell the pattern of why the rates are different at different times.|nd|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|10|It all depends on the wind and water temperature.|v3 - 50|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|11|The second chart on ?coral bleaching reports per year? also helps us notice a trend of the bleaching rates.|v50|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|12|Since all the chart graphing data goes together you can also tell the pattern.|nd|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|13|All the other years except for the year 1998 are having the rates around 30 below.|bck|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|14|That is why people need ot be more careful with the ocean.|nd|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|15|We are killing animals, coral are animals because they have animal cells.|nd|3 - 50
EBA1_PRE_CB_Letizia_7_5_Essay_03830_F|16|We need their beautiful color to come back and live.|nd|3 - 50
EBA1_PRE_CB_McIntyre_6_1_essay_03490_F|1|Coral bleaching change at different times because every year between 1980-2009  it increasing or it was decreasing.|50|NA
EBA1_PRE_CB_McIntyre_6_1_essay_03490_F|2|I know how coral bleaching rates vary at different times because coral bleaching changes very often like every year because  ?? it the focus on on the trade winds so if the trade winds get very hight coral bleaching is going to hight as well.|v1; 50|NA
EBA1_PRE_CB_McIntyre_6_1_essay_03490_F|3| I want to know do we need coral bleaching what do it help us do what do it help in the oceans?|nd|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03489_F|1|How coral are bleaching because the water temperature is increasing, the solubility of carbon dioxide (CO2) in water decreases.|3 - 50; 4 - 50|3 - 50; 4 - 50; 6 - 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03489_F|2|Also the water decrease in carbon dioxide (CO2) disrupts photosynthesis.|4 - 5|3 - 50; 4 - 50; 6 - 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03489_F|3|This can change and ruin the ballance that corals need in order to be healthy in order to live most of the time.|bck|3 - 50; 4 - 50; 6 - 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03489_F|4|Why coral has been bleaching because a lot of stress of the coral will make the oral eject their food-producing algae.|6 - 7 - 50|3 - 50; 4 - 50; 6 - 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03489_F|5|Also when tourist drop anchors or walk on reefs also heart the coral.|bck|3 - 50; 4 - 50; 6 - 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03494_F|1|These animals live in colonies and tend to stay in one place.|bck|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03494_F|2|these algae create surgars from sunlight by the process of photosynthesis.|bck|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03494_F|3|Some coral have lost their color and been ?bleached? a plain white.|50|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03494_F|4|This ocean covers about 1/3 of the surface of the entire globe.|bck|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03494_F|5|They have known about changes in wind, ocean currents, and temperatures,.|v1; v3|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03494_F|6|And how these variations are linked to marine life.|bck|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03494_F|7|This was the case in an event that occurred in 1998.|bck|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03494_F|8|Pacific tade wind travel from east o west.|bck|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03494_F|9|At the same time the deeper colder wathers in the eastern Pacific rises to the surface.|bck|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03495_F|1|Coral bleaching the time when the wind blow really hard it also bleach.|50|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03495_F|2|When other polyps rap around it and when it has storms the zooxanthellae pulls up and when it get higher it bleaches it self when storms come if it was a tornadow the water will continue swirling up in circles and zooxanthellas come up when it only comes and hits the zoozanthellas.|11|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03495_F|3|Zooanthellas turn sometime purple white or maybe yellowish it get desese or starve some destructive things when ther not in the right places.|nd|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03495_F|4|In 1998 it went up a lot away to 70 coaral bleaching in 2001 the wind got weaker and weaker a lot by day marine biologists have form many types of coals years ago in living oceans some of them stay in one place when wind blows.|1; 50|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03495_F|5|they are in Pacific Oceans  some are stuck together and some are not Atlantic Oceans have many of the them they have them in different areas.|bck|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03495_F|6|Coaral bleaching is most often in the Pacific  Ocean fisher man worked along the Pacific coastal regions of South America for centuries.|50|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03495_F|7|they have known about canges in wind, ocean currents, variations are linked to marine life.|v1|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03495_F|8|this was the case in event that occurred in 1998.|bck|NA
EBA1_PRE_CB_McIntyre_6_1_Essays_03496_F|1|From reading the documents given I now know that coral bleaching rates vary at different times because corals need the right water temperature and the right amount of salinity.|v3 - 50; v13 - 50|11 - 13 - 50; 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03496_F|2|Drop on salinity, or the decreasing and increasing of water temperature threatens the balance necessary to keep them healthy, it varies because sometimes temperatures can be high and others low.|13; v3|11 - 13 - 50; 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03496_F|3|Salinity balances   are decreasing when it storms, but there asn?t a storm everyday so the salinity balance only decreases at certain times.|11 - 13|11 - 13 - 50; 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03496_F|4|I also know that coral bleaching as when coral loses color.|50|11 - 13 - 50; 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03496_F|5|I can infer that there has to be something in coral or on coral that gaves it its color.|nd|11 - 13 - 50; 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03496_F|6|I found in the text that zooanthellae algae benfit from their relationship with each other.|bck|11 - 13 - 50; 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03496_F|7|Coral provides a protected environment food or nutrients for the algae.|bck|11 - 13 - 50; 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03496_F|8|The zooanthellae algae passes some of the food of the coral and the algae also helps with its colors.|bck|11 - 13 - 50; 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03496_F|9|So if algae helps corals with their colors the algae would have to be removed from the environment or killed then coral would lose its color.|v50|11 - 13 - 50; 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03496_F|10|Due to death of algae corals lose their color and become bleached.|7 - 50|11 - 13 - 50; 7 - 50
EBA1_PRE_CB_McIntyre_6_1_Essays_03496_F|11|I now know what causes coral bleaching.|50|11 - 13 - 50; 7 - 50
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|1|Coral bleaching rates very at different times because it was proscess good and bad at different times.|50|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|2|Sometimes it might work a little or it might not work.|nd|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|3|Many coral bleaching is found in some oceans.|50|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|4|Sometime if its to much of the coral bleach in the ocean then it might can kill lots of plants.|50|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|5|Also lots of swimming pools have coral bleach in it as well.|nd|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|6| In order for it to be strong you have to treat it.|nd|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|7|Pacific trade winds travel from east to west.|v1|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|8|The highest was 1998.|bck|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|9|Though all the years it?s been going up and down.|nd|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|10|But why would they stop in 2006.|nd|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|11|This was the in an event that occurred in 1998.|bck|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3509_F|12|Events that lead to coral bleaching are a serious problem with a serious impact on the worlds cora reefs.|50|NA
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|1|? Coral bleaching rates vary at different times because the change of wind, ocean currents and temperatures.|v1 - 50|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|2|In the text it said some coral have lost their color and been bleached a plain white.|50|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|3|In the text it said that in 1998 that it was the most color bleaching.|bck|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|4|he years that had the least color bleaching was 1981, 1984 and 1988.|bck|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|5|The pacific ocean have the most coral bleaching.|bck|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|6|When these storms drop fresh water into the ocen the salinity drops.|11-12-13|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|7|This drop in salinity threatens the balance necessary to keep the coral healthy.|13|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|8|There was a large coral bleaching event in 1998.|50|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|9|It was one of the worst ever observed.|nd|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|10|This event resulted in the death of 16% of the world?s coral reefs.|bck|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|11| A lot of stress on coral from the environment may face the coral to eject their food-producing algae.|6-7|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|12| This results in bleaching.|6-7-v50|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|13|Bleaching makes coral more likely to get a disese or starve.|bck|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_essay_3515_F|14|If the coral goes for too long without their algae bleaching can result in death.|7; v50|6 - 7 -50
EBA1_PRE_CB_McIntyre_6_2_Essays_03513_F|1|Coral bleaching rates at different times because they||NA
EBA1_PRE_CB_McIntyre_6_2_Essays_03516_F|1|Coral bleaching rates vary at different times because of the different types of algae living within the coral polyps.|50|NA
EBA1_PRE_CB_McIntyre_6_2_Essays_03516_F|2|Also because at times these variations are more drastic than normal.|bck|NA
EBA1_PRE_CB_McIntyre_6_2_Essays_03516_F|3|And cause these animals live in colonies and tend to stay in one place.|bck|NA
EBA1_PRE_CB_McIntyre_6_2_Essays_03516_F|4|Most coral eat sugars made by algae that live in the corals polyps, like other plant life, these algae create sugars from sunlight by the process of photosynthesis, the process requires both carbon dioxide and water to make sugars and release oxygen.|bck|NA
EBA1_PRE_CB_McIntyre_6_2_Essays_03516_F|5|Also I think that 1998 was a very dangerous year for coral reef.|bck|NA
EBA1_PRE_CB_McIntyre_6_2_Essays_03516_F|6|that?s how and why coral bleaching rates vary at different times.||NA
EBA1_PRE_CB_McIntyre_6_2_Essays_03517_F|1|Coral bleaching happens at different times because a lot of stress on the coral from the environment may force the coral to eject their food-producing algae.|6 - 7 - 50|6 - 7 - 50
EBA1_PRE_CB_McIntyre_6_2_Essays_03517_F|2|And this results is bleaching.|7 - v50|6 - 7 - 50
EBA1_PRE_CB_McIntyre_6_2_Essays_03517_F|3|This is the way coral bleaching happens at different times.|50|6 - 7 - 50
